item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,recommend_reason,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm
0,,612841,8734132700578689,450100,南宁市,https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B,88,145,良庆区,良庆区,23009370,1100004768,玉洞,8734132700578689,3,建面 88-145㎡,88-145㎡,建面,精装修,108.34429316395,22.747759071665,3/4/5居,合景香悦四季,合景香悦四季,合景·香悦四季,东风路合景香悦四季,南宁市良庆区清风路2号,0,9300,东风路合景香悦四季,hjxysjbiwov,[],[],"[{'bedroom_count': '3', 'area_range': '88-91㎡'}, {'bedroom_count': '4', 'area_range': '122-126㎡'}, {'bedroom_count': '5', 'area_range': '145㎡'}]","['品牌房企', '绿化率高', '大型社区', '娱乐丰富']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-06-99,0,1323000,9300,元/平,均价,,0000-00-00 00:00:00,2,,2,0,均价9300元/平,44,"[{'id': 'img_4293251', 'image_id': '4293251', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B!m_fill,w_1440,l_rorate_logo'}]",9300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,93,万/套起,10471,元/平起,2019-09-18 15:28:15,,0,0,[],[],243851265657454592,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454592"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""612841""}",,,/loupan/p_hjxysjbiwov/,[],,[],
0,,612843,8734132700578689,450100,南宁市,https://image1.ljcdn.com/hdic-resblock/prod-43a8653d-926a-4499-9a87-bf4eae3a6595phpwjzDoB,180,200,良庆区,良庆区,23009370,1100004768,玉洞,8734132700578689,3,建面 180-200㎡,180-200㎡,建面,精装修,108.34429316395,22.747759071665,5/6居,合景香悦四季,合景香悦四季,合景·香悦四季,东风路合景香悦四季,南宁市良庆区清风路2号,0,22000,东风路合景香悦四季,hjxysjbiwox,[],[],"[{'bedroom_count': '5', 'area_range': '180㎡'}, {'bedroom_count': '6', 'area_range': '200㎡'}]","['品牌房企', '现房', '大型社区', '娱乐丰富']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-06-18,0,4150000,415,万/套,总价,,0000-00-00 00:00:00,2,,0,0,总价415万/套,44,"[{'id': 'img_4293245', 'image_id': '4293245', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-43a8653d-926a-4499-9a87-bf4eae3a6595phpwjzDoB', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-43a8653d-926a-4499-9a87-bf4eae3a6595phpwjzDoB!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-43a8653d-926a-4499-9a87-bf4eae3a6595phpwjzDoB!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-43a8653d-926a-4499-9a87-bf4eae3a6595phpwjzDoB!m_fill,w_1440,l_rorate_logo'}]",22000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,374,万/套起,20777,元/平起,2019-07-12 09:12:12,,0,0,[],[],243851265657454593,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454593"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""612843""}",,,/loupan/p_hjxysjbiwox/,[],,[],
0,,616083,8734132719446389,450100,南宁市,https://image1.ljcdn.com/hdic-resblock/prod-7edbebdc-8e44-486c-8b76-6b646b6b3fbephpyLEww5,162,262,兴宁区,兴宁区,23009363,1100004771,兴宁东,8734132719446389,3,建面 162-262㎡,162-262㎡,建面,精装修,108.399756,22.88242,4/5/6居,碧桂园·雍璟台,碧桂园·雍璟台,南宁碧桂园·雍璟台,昆岭路7号,南宁市兴宁区昆岭路7号,0,16000,昆岭路7号,yjwbjbjn,[],[],"[{'bedroom_count': '4', 'area_range': '162㎡'}, {'bedroom_count': '5', 'area_range': '200㎡'}, {'bedroom_count': '6', 'area_range': '262㎡'}]","['品牌房企', '现房', '低密居所', '银行']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-03-31,0,2500000,250,万/套,总价,,0000-00-00 00:00:00,2,,0,0,总价250万/套,1,"[{'id': 'img_4404252', 'image_id': '4404252', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-7edbebdc-8e44-486c-8b76-6b646b6b3fbephpyLEww5', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-7edbebdc-8e44-486c-8b76-6b646b6b3fbephpyLEww5!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-7edbebdc-8e44-486c-8b76-6b646b6b3fbephpyLEww5!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-7edbebdc-8e44-486c-8b76-6b646b6b3fbephpyLEww5!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,259,万/套起,15987,元/平起,2019-07-12 09:10:46,,0,0,[],[],243851265657454594,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454594"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""616083""}",,,/loupan/p_yjwbjbjn/,[],,[],
0,,618643,8734135971354780,450100,南宁市,https://image1.ljcdn.com/hdic-resblock/prod-b1b954ad-cc7b-4f7d-b21c-0f242f9a44fephppBOzjR,101,144,青秀区,青秀区,23009372,1100004751,仙葫,8734135971354780,3,建面 101-144㎡,101-144㎡,建面,精装修,108.457408,22.796935,3/4居,新城·悦隽江山,新城·悦隽江山,悦隽江山,开泰路178号,东盟国际商务区中新路9号九州国际（一楼平安银行旁）,0,14000,开泰路178号,xcjjsbjfdz,[],[],"[{'bedroom_count': '3', 'area_range': '101㎡'}, {'bedroom_count': '4', 'area_range': '127-144㎡'}]","['品牌房企', '低密居所', '绿化率高', '江景']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '61', 'desc': '江景', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-03-99,0,1420000,14000,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价14000元/平,16,"[{'id': 'img_4588368', 'image_id': '4588368', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-b1b954ad-cc7b-4f7d-b21c-0f242f9a44fephppBOzjR', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-b1b954ad-cc7b-4f7d-b21c-0f242f9a44fephppBOzjR!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-b1b954ad-cc7b-4f7d-b21c-0f242f9a44fephppBOzjR!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-b1b954ad-cc7b-4f7d-b21c-0f242f9a44fephppBOzjR!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,141.4,万/套起,14000,元/平起,2019-07-12 09:16:08,,0,0,[],[],243851265657454595,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454595"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""618643""}",,,/loupan/p_xcjjsbjfdz/,[],,[],
0,,619617,8734135976634195,450100,南宁市,https://image1.ljcdn.com/newhouse-user-image/a74b6c97d2f9a5fb66a04debad6ac8bd.jpg,93,128,兴宁区,兴宁区,23009363,1100004771,兴宁东,8734135976634195,3,建面 93-128㎡,93-128㎡,建面,精装修,108.4321,22.881375,3居,龙光玖誉府,龙光玖誉府,龙光·玖誉府,松柏路15号,兴宁区松柏路15号,0,10500,松柏路15号,lgjyfbjgpl,[],[],"[{'bedroom_count': '3', 'area_range': '93-128㎡'}]","['品牌房企', '绿化率高', '人车分流']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-12-99,0,1180000,10500,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价10500元/平,41,"[{'id': 'img_4653212', 'image_id': '4653212', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/75779361b5067b9e98110c057b0a7075.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/75779361b5067b9e98110c057b0a7075.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/75779361b5067b9e98110c057b0a7075.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/75779361b5067b9e98110c057b0a7075.jpg!m_fill,w_1440,l_rorate_logo'}]",10500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,97,万/套起,10430,元/平起,2019-07-12 09:16:08,,0,0,[],[],243851265657454596,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454596"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""619617""}",,,/loupan/p_lgjyfbjgpl/,[],,[],
0,,619987,8734134598152988,450100,南宁市,https://image1.ljcdn.com/newhouse-user-image/67486f81b565c9f41599857f4821cb92.jpg,87,146,兴宁区,兴宁区,23009363,1100004771,兴宁东,8734134598152988,3,建面 87-146㎡,87-146㎡,建面,毛坯,108.42530410331,22.893261336351,2/3/4/5居,国悦九曲湾,国悦九曲湾,国悦·九曲湾,九曲湾路国悦九曲湾,广西省南宁市兴宁区三塘镇温泉路19号,0,9500,九曲湾路国悦九曲湾,gyjqwbjhdr,[],[],"[{'bedroom_count': '2', 'area_range': '140.01㎡'}, {'bedroom_count': '4', 'area_range': '101.76-116.19㎡'}, {'bedroom_count': '5', 'area_range': '128.15-140.01㎡'}]","['绿化率高', '大型社区', '购物方便', '美食云集']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-11-20,0,1220000,9500,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价9500元/平,101,"[{'id': 'img_4717909', 'image_id': '4717909', 'type_id': '101900000003', 'type_name': '项目现场', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/67486f81b565c9f41599857f4821cb92.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/67486f81b565c9f41599857f4821cb92.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/67486f81b565c9f41599857f4821cb92.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/67486f81b565c9f41599857f4821cb92.jpg!m_fill,w_1440,l_rorate_logo'}]",9500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,97.7,万/套起,9596,元/平起,2019-07-12 09:10:46,,0,0,[],[],243851265657454597,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454597"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""619987""}",,,/loupan/p_gyjqwbjhdr/,[],,[],
0,,621292,8734136781051314,450100,南宁市,https://image1.ljcdn.com/newhouse-user-image/8911eb76e0fea2b5247da1db54f9d7e3.jpg,110,143,邕宁区,邕宁区,23009367,1100004752,龙岗,8734136781051314,3,建面 110-143㎡,110-143㎡,建面,精装修,108.44777,22.78084,4居,蓝光·雍锦澜湾,蓝光·雍锦澜湾,蓝光雍锦澜湾,龙华路南侧（前海人寿医院旁）蓝光·雍锦澜湾,五象新区龙华路南侧（前海人寿医院旁）,0,11800,龙华路南侧（前海人寿医院旁）蓝光·雍锦澜湾,lgjlwbjjbw,[],[],"[{'bedroom_count': '4', 'area_range': '110-143㎡'}]","['品牌房企', '绿化率高', '大型社区']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-01-99,0,1270000,11800,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价11800元/平,35,"[{'id': 'img_4842066', 'image_id': '4842066', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/4e75a9aceb75b8e2e96438f615437e93.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/4e75a9aceb75b8e2e96438f615437e93.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/4e75a9aceb75b8e2e96438f615437e93.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/4e75a9aceb75b8e2e96438f615437e93.jpg!m_fill,w_1440,l_rorate_logo'}]",11800,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,121,万/套起,11000,元/平起,2019-07-12 09:16:08,,0,0,[],[],243851265657454598,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454598"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""621292""}",,,/loupan/p_lgjlwbjjbw/,[],,[],
0,,621627,8734136917364956,450100,南宁市,https://image1.ljcdn.com/newhouse-user-image/bbfc7eebaa58b1b5ca4276594598d35d.png,90,142,江南区,江南区,23009364,1100001622,沙井,8734136917364956,3,建面 90-142㎡,90-142㎡,建面,精装修,108.239507,22.787969,3/4居,碧桂园公园壹号,碧桂园公园壹号,碧桂园·公园一号,智兴路9号,南宁市江南区智兴路9号,0,9600,智兴路9号,bgygyyhbjjot,[],[],"[{'bedroom_count': '3', 'area_range': '90㎡'}, {'bedroom_count': '4', 'area_range': '120-142㎡'}]","['品牌房企', '绿化率高', '大型社区', '湖景']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '64', 'desc': '湖景', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-03-16,0,870000,9600,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价9600元/平,1,"[{'id': 'img_4867254', 'image_id': '4867254', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/bbfc7eebaa58b1b5ca4276594598d35d.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/bbfc7eebaa58b1b5ca4276594598d35d.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/bbfc7eebaa58b1b5ca4276594598d35d.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/bbfc7eebaa58b1b5ca4276594598d35d.png!m_fill,w_1440,l_rorate_logo'}]",9600,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,86.4,万/套起,9600,元/平起,2019-07-12 09:16:08,,0,0,[],[],243851265657454599,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454599"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""621627""}",,,/loupan/p_bgygyyhbjjot/,[],,[],
0,,621917,8734137064171751,450100,南宁市,https://image1.ljcdn.com/newhouse-user-image/c6f3f65e3b37799270b87b7021b21554.jpg,226,260,青秀区,青秀区,23009372,1100004751,仙葫,8734137064171751,3,建面 226-260㎡,226-260㎡,建面,毛坯,108.488605,22.812586,5/6/7/8居,观澜溪谷,观澜溪谷,江山墅,仙葫大道中121号,南宁市青秀区仙葫大道中121号,0,18000,仙葫大道中121号,glxgbjjzx,[],[],"[{'bedroom_count': '5', 'area_range': '260㎡'}, {'bedroom_count': '6', 'area_range': '226㎡'}, {'bedroom_count': '7', 'area_range': '254㎡'}, {'bedroom_count': '8', 'area_range': '260㎡'}]","['低密居所', '车位充足']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-10-15,0,3852000,18000,元/平,均价,,0000-00-00 00:00:00,2,,0,0,均价18000元/平,101,"[{'id': 'img_4886230', 'image_id': '4886230', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/c6f3f65e3b37799270b87b7021b21554.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/c6f3f65e3b37799270b87b7021b21554.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/c6f3f65e3b37799270b87b7021b21554.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/c6f3f65e3b37799270b87b7021b21554.jpg!m_fill,w_1440,l_rorate_logo'}]",18000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,407,万/套起,18000,元/平起,2019-07-12 09:16:08,,0,0,[],[],243851265657454600,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454600"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""621917""}",,,/loupan/p_glxgbjjzx/,[],,[],
0,,622323,8734137236211953,450100,南宁市,https://image1.ljcdn.com/newhouse-user-image/49213156d1a2acda782c9ca03b13f1ff.png,95,143,良庆区,良庆区,23009370,1100004770,五象湖,8734137236211953,3,建面 95-143㎡,95-143㎡,建面,精装修,108.412909,22.748189,3/4居,檀府印象,檀府印象,檀府 印象,庆林路17号,良庆区庆林路17号,0,12000,庆林路17号,tfyxbjkpn,[],[],"[{'bedroom_count': '3', 'area_range': '95-102㎡'}, {'bedroom_count': '4', 'area_range': '118-143㎡'}]","['品牌房企', '绿化率高', '大型社区']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-09-99,0,1254400,12000,元/平,均价,,0000-00-00 00:00:00,2,,2,0,均价12000元/平,23;101,"[{'id': 'img_4908158', 'image_id': '4908158', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/b2a728b4376eb41531b518b82111d81a.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/b2a728b4376eb41531b518b82111d81a.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/b2a728b4376eb41531b518b82111d81a.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/b2a728b4376eb41531b518b82111d81a.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,114,万/套起,11938,元/平起,2019-09-18 15:28:25,,0,0,[],[],243851265657454601,"{""fb_query_id"":""243851265489682432"",""fb_expo_id"":""243851265657454601"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""622323""}",,,/loupan/p_tfyxbjkpn/,[],,[],
0,,612841,8734132700578689,450100,南宁市,https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B,88,145,良庆区,良庆区,23009370,1100004768,玉洞,8734132700578689,3,建面 88-145㎡,88-145㎡,建面,精装修,108.34429316395,22.747759071665,3/4/5居,合景香悦四季,合景香悦四季,合景·香悦四季,东风路合景香悦四季,南宁市良庆区清风路2号,0,9300,东风路合景香悦四季,hjxysjbiwov,[],[],"[{'bedroom_count': '3', 'area_range': '88-91㎡'}, {'bedroom_count': '4', 'area_range': '122-126㎡'}, {'bedroom_count': '5', 'area_range': '145㎡'}]","['品牌房企', '绿化率高', '大型社区', '娱乐丰富']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-06-99,0,1323000,9300,元/平,均价,,0000-00-00 00:00:00,2,,2,0,均价9300元/平,44,"[{'id': 'img_4293251', 'image_id': '4293251', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-cf0844c1-ccfb-4a9e-a7a0-a287bf9ac33fphppZRl4B!m_fill,w_1440,l_rorate_logo'}]",9300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,93,万/套起,10471,元/平起,2019-09-18 15:28:15,,0,0,[],[],243851267058331648,"{""fb_query_id"":""243851267020582912"",""fb_expo_id"":""243851267058331648"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""612841""}",,,/loupan/p_hjxysjbiwov/,[],,[],
