item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm,recommend_reason.type,recommend_reason.name,recommend_reason.details,recommend_reason
0,,621739,8742137063121884,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/b706159bd025fd74390b89d7a426f296.jpg,100,300,广汉市,广汉市,23009281,1100001502,广汉市,8742137063121884,3,建面 100-300㎡,100-300㎡,建面,毛坯,104.289404,30.912469,2/3/4/5居,新鸥鹏教育小镇,新鸥鹏教育小镇,新鸥鹏教育小镇哈佛公馆,德阳市高新区滨湖路88号,德阳市高新区滨湖路88号,0,6700,德阳市高新区滨湖路88号,xopjyxzbjjtb,[],[],"[{'bedroom_count': '2', 'area_range': '123㎡'}, {'bedroom_count': '3', 'area_range': '100-109㎡'}, {'bedroom_count': '4', 'area_range': '124-300㎡'}]","['自持商业', '大型社区', '成熟商圈']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-10-99,0,700000,6700,元/平,均价,11天,2019-10-24 14:34:33,2,,0,0,均价6700元/平,101,"[{'id': 'img_4984010', 'image_id': '4984010', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg!m_fill,w_1440,l_rorate_logo'}]",6700,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,68,万/套起,6601,元/平起,2019-02-26 15:05:12,高层、洋房在售,0,0,[],[],243850433607577600,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577600"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""621739""}",,/loupan/p_xopjyxzbjjtb/,[],,[],,4,楼盘亮点,高层、洋房在售,
0,,29603,8742129207338600,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/cc953dae39e6f6f9827c865ca50cab80.png,0,0,绵竹市,绵竹市,23009282,1100001500,绵竹市,8742129207338600,3,,,建面,毛坯,104.246515,31.327633,,剑桥城,剑桥城,,绵竹大学城-80000平米鲜花广场旁,绵竹大学城-80000平米鲜花广场旁,38000,38000,绵竹大学城-80000平米鲜花广场旁,jqcabrup,[],[],[],"['现房', '购物方便', '综合商场', '公园']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '54', 'desc': '综合商场', 'color': ''}, {'id': '59', 'desc': '公园', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2018-04-28,0,0,38000,元/平,均价,322天,2018-12-17 10:48:38,2,,0,0,均价38000元/平,101,"[{'id': 'img_5664484', 'image_id': '5664484', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png!m_fill,w_1440,l_rorate_logo'}]",38000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-03-13 13:38:22,在售价格：3.8万-4万,0,0,[],[],243850433607577601,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577601"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""29603""}",,/loupan/p_jqcabrup/,[],,[],,4,楼盘亮点,在售价格：3.8万-4万,
0,,600037,8742132630310477,510600,德阳市,https://image1.ljcdn.com/hdic-resblock/9532d1ce-c6b9-43a7-9a63-fe8594687c1b.jpg,89,107,广汉市,广汉市,23009281,1100001502,广汉市,8742132630310477,3,建面 89-107㎡,89-107㎡,建面,毛坯,104.282996,31.015212,3居,金雁欢乐水岸,金雁欢乐水岸,金雁铭座,广汉市韶山路5段69号,广汉市韶山路5段69号,8500,6769,广汉市韶山路5段69号,jyhlsajymzbidqj,[],[],"[{'bedroom_count': '3', 'area_range': '89-107㎡'}]","['公交直达', '绿化率高', '小型社区', '运动健身']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-28,0,764900,6769,元/平,均价,206天,2019-04-12 14:50:59,2,,0,0,均价6769元/平,101,"[{'id': 'img_4984167', 'image_id': '4984167', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png!m_fill,w_1440,l_rorate_logo'}]",6769,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,75,万/套起,8411,元/平起,2018-10-19 13:03:13,距高铁站580米步行5分钟,0,0,[],[],243850433607577602,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577602"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""600037""}",,/loupan/p_jyhlsajymzbidqj/,[],,[],,4,楼盘亮点,距高铁站580米步行5分钟,
0,,605343,8742133682323022,510600,德阳市,https://image1.ljcdn.com/hdic-resblock/87cf2f80-e6f7-4565-97cb-60e262a22984.png,90,117,广汉市,广汉市,23009281,1100001502,广汉市,8742133682323022,3,建面 90-117㎡,90-117㎡,建面,毛坯,104.282258,31.006608,3居,金雁·欧城联邦,金雁·欧城联邦,   ,韶山路五段56号,广汉市韶山路五段56号,8500,7000,韶山路五段56号,jyclbbilml,[],[],"[{'bedroom_count': '3', 'area_range': '90-117㎡'}]","['绿化率高', '大型社区', '购物方便', '美食云集']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-08-25,0,623000,7000,元/平,均价,236天,2019-03-13 15:01:10,2,,0,0,均价7000元/平,101,"[{'id': 'img_5553754', 'image_id': '5553754', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/31193d45522ff27c2faf2b6d299d9c8d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/31193d45522ff27c2faf2b6d299d9c8d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/31193d45522ff27c2faf2b6d299d9c8d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/31193d45522ff27c2faf2b6d299d9c8d.jpg!m_fill,w_1440,l_rorate_logo'}]",7000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,63,万/套起,6991,元/平起,2018-08-30 09:21:30,步行仅900米至高汉高铁。,0,0,[],[],243850433607577603,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577603"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""605343""}",,/loupan/p_jyclbbilml/,[],,[],,4,楼盘亮点,步行仅900米至高汉高铁。,
0,,606388,8742132630310477,510600,德阳市,https://image1.ljcdn.com/hdic-resblock/9532d1ce-c6b9-43a7-9a63-fe8594687c1b.jpg,0,0,广汉市,广汉市,23009281,1100001502,广汉市,8742132630310477,3,,,建面,毛坯,104.282996,31.015212,,金雁欢乐水岸,金雁欢乐水岸,金雁铭座,广汉市韶山路5段69号,广汉市韶山路5段99号,0,19000,广汉市韶山路5段69号,jyhlsajymzbinaq,[],[],[],"['公交直达', '运动健身', '公园', '景区']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}, {'id': '59', 'desc': '公园', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",底商,107500000016,在售,0,0,0,0,2018-06-18,0,0,19000,元/平,均价,104天,2019-07-23 17:12:34,2,,0,0,均价19000元/平,101,"[{'id': 'img_4984167', 'image_id': '4984167', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a50af0e36bc0c5e34a6cd2977b414921.png!m_fill,w_1440,l_rorate_logo'}]",19000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,DAAC24,0,万/套起,0,元/平起,2018-09-14 16:59:33,,0,0,[],[],243850433607577604,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577604"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""606388""}",,/loupan/p_jyhlsajymzbinaq/,[],,[],,,,,
0,,613732,8742135212834802,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/b61710a8b88259a624fedc2b1a1a2ff2.jpg,89,130,广汉市,广汉市,23009281,1100001502,广汉市,8742135212834802,3,建面 89-130㎡,89-130㎡,建面,毛坯,104.256917,30.996551,3/4居,华景川万悦城,华景川万悦城,"万悦城, 华景·川万悦城",广汉市金虎路（青什路金虎小区路口向西200米),广汉市金虎路西段88号,0,6400,广汉市金虎路（青什路金虎小区路口向西200米),wycbixxc,[],[],"[{'bedroom_count': '3', 'area_range': '89.15-118.65㎡'}, {'bedroom_count': '4', 'area_range': '130.72㎡'}]","['绿化率高', '人车分流']","[{'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '52', 'desc': '人车分流', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-08-20,0,570000,6400,元/平,均价,138天,2019-06-19 13:33:40,2,,0,0,均价6400元/平,101,"[{'id': 'img_4988120', 'image_id': '4988120', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/b4d15386e2149826ba64143bf4e8d260.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/b4d15386e2149826ba64143bf4e8d260.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/b4d15386e2149826ba64143bf4e8d260.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/b4d15386e2149826ba64143bf4e8d260.jpg!m_fill,w_1440,l_rorate_logo'}]",6400,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,56.16,万/套起,6299,元/平起,2018-10-22 11:18:12,总价57起，成都主城区2.5环,0,0,[],[],243850433607577605,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577605"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""613732""}",,/loupan/p_wycbixxc/,[],,[],,4,楼盘亮点,总价57起，成都主城区2.5环,
0,,616481,8742135798065169,510600,德阳市,https://image1.ljcdn.com/hdic-resblock/prod-5ec24d59-3428-4c64-bd4c-454ad52448daphpusvy0p,122,130,广汉市,广汉市,23009281,1100001502,广汉市,8742135798065169,3,建面 122-130㎡,122-130㎡,建面,毛坯,104.280919,31.004235,3居,蔚蓝郡,蔚蓝郡,金雁蔚蓝郡,天津路西二段66号,广汉市天津路西二段66号,0,7300,天津路西二段66号,wljbjbyv,[],[],"[{'bedroom_count': '3', 'area_range': '122.24-130.89㎡'}]","['小型社区', '娱乐丰富', '运动健身', '休闲广场']","[{'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}, {'id': '60', 'desc': '休闲广场', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-10-01,0,890600,7300,元/平,均价,132天,2019-06-25 14:11:10,2,,0,0,均价7300元/平,101,"[{'id': 'img_4434842', 'image_id': '4434842', 'type_id': '102100000003', 'type_name': '沙盘', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/prod-85d872d6-ce9f-48d9-93a4-c6b9403eb19dphpN4FrFt', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/prod-85d872d6-ce9f-48d9-93a4-c6b9403eb19dphpN4FrFt!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-85d872d6-ce9f-48d9-93a4-c6b9403eb19dphpN4FrFt!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/prod-85d872d6-ce9f-48d9-93a4-c6b9403eb19dphpN4FrFt!m_fill,w_1440,l_rorate_logo'}]",7300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,89,万/套起,7280,元/平起,2018-11-01 14:18:50,预计2020年年底交房,0,0,[],[],243850433607577606,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577606"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""616481""}",,/loupan/p_wljbjbyv/,[],,[],,4,楼盘亮点,预计2020年年底交房,
0,,620012,8742136305876600,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/00e96c074e6451428542cc7825933715.png,100,125,广汉市,广汉市,23009281,1100001502,广汉市,8742136305876600,3,建面 100-125㎡,100-125㎡,建面,毛坯,104.290861,30.952248,2/3居,琪达·花园里,琪达·花园里,    ,台北路东一段75号,广汉市 台北路 东一段75号,0,6500,台北路东一段75号,qdylbjheq,[],[],"[{'bedroom_count': '2', 'area_range': '100.99㎡'}, {'bedroom_count': '3', 'area_range': '100.99-125.08㎡'}]","['低密居所', '绿化率高']","[{'id': '18', 'desc': '低密居所', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-05-01,0,572000,6500,元/平,均价,206天,2019-04-12 14:49:42,2,,0,0,均价6500元/平,101,"[{'id': 'img_4724789', 'image_id': '4724789', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/00e96c074e6451428542cc7825933715.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/00e96c074e6451428542cc7825933715.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/00e96c074e6451428542cc7825933715.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/00e96c074e6451428542cc7825933715.png!m_fill,w_1440,l_rorate_logo'}]",6500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,59.58,万/套起,5899,元/平起,2018-11-30 09:30:03,,0,0,[],[],243850433607577607,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577607"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""620012""}",,/loupan/p_qdylbjheq/,[],,[],,,,,
0,,620962,8742136488498509,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/a987cf16c046cf2f89207f2212bc4edf.jpg,0,0,广汉市,广汉市,23009281,1100001502,广汉市,8742136488498509,3,,,建面,毛坯,104.284298,30.986732,,银座城市中心,银座城市中心,银座.天府美食城,中山大道银座城市中心,广汉市中山大道北二段27号,0,16000,中山大道银座城市中心,yzcszxyzbjipe,[],[],[],[],[],商业,107500000007,在售,0,0,0,0,2018-12-15,0,0,16000,元/平,均价,109天,2019-07-18 17:00:16,2,,0,0,均价16000元/平,101,"[{'id': 'img_4808101', 'image_id': '4808101', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/a987cf16c046cf2f89207f2212bc4edf.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/a987cf16c046cf2f89207f2212bc4edf.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a987cf16c046cf2f89207f2212bc4edf.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/a987cf16c046cf2f89207f2212bc4edf.jpg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-12-17 10:45:04,,0,0,[],[],243850433607577608,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577608"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""620962""}",,/loupan/p_yzcszxyzbjipe/,[],,[],,,,,
0,,624208,8742137215190055,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/6b7b39427d81a3c2cff8909d56d5ca17.jpg,0,0,广汉市,广汉市,23009281,1100001502,广汉市,8742137215190055,3,,,建面,毛坯,104.27369474767,30.973105760958,,金雁凯旋城,金雁凯旋城, 金雁凯旋城   ,佛山路西三段237号,佛山路西三段237号,0,11000,佛山路西三段237号,jykxcbjnka,[],[],[],"['低单价', '现房', '车位充足', '成熟商圈']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",底商,107500000016,在售,0,0,0,0,2019-01-15,0,310000,11000,元/平,均价,259天,2019-02-18 16:40:24,2,,0,0,均价11000元/平,101,"[{'id': 'img_4972139', 'image_id': '4972139', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/6b7b39427d81a3c2cff8909d56d5ca17.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/6b7b39427d81a3c2cff8909d56d5ca17.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/6b7b39427d81a3c2cff8909d56d5ca17.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/6b7b39427d81a3c2cff8909d56d5ca17.jpg!m_fill,w_1440,l_rorate_logo'}]",11000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,DAAC24,0,万/套起,0,元/平起,2019-02-18 16:45:06,,0,0,[],[],243850433607577609,"{""fb_query_id"":""243850433490137088"",""fb_expo_id"":""243850433607577609"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-3]\""]"",""fb_item_id"":""624208""}",,/loupan/p_jykxcbjnka/,[],,[],,,,,
0,,621739,8742137063121884,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/b706159bd025fd74390b89d7a426f296.jpg,100,300,广汉市,广汉市,23009281,1100001502,广汉市,8742137063121884,3,建面 100-300㎡,100-300㎡,建面,毛坯,104.289404,30.912469,2/3/4/5居,新鸥鹏教育小镇,新鸥鹏教育小镇,新鸥鹏教育小镇哈佛公馆,德阳市高新区滨湖路88号,德阳市高新区滨湖路88号,0,6700,德阳市高新区滨湖路88号,xopjyxzbjjtb,[],[],"[{'bedroom_count': '2', 'area_range': '123㎡'}, {'bedroom_count': '3', 'area_range': '100-109㎡'}, {'bedroom_count': '4', 'area_range': '124-300㎡'}]","['自持商业', '大型社区', '成熟商圈']","[{'id': '40', 'desc': '自持商业', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '53', 'desc': '成熟商圈', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-10-99,0,700000,6700,元/平,均价,11天,2019-10-24 14:34:33,2,,0,0,均价6700元/平,101,"[{'id': 'img_4984010', 'image_id': '4984010', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/734a218e537ca469c33c10f64b0dd9fd.jpg!m_fill,w_1440,l_rorate_logo'}]",6700,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,68,万/套起,6601,元/平起,2019-02-26 15:05:12,高层、洋房在售,0,0,[],[],243850434556116992,"{""fb_query_id"":""243850434522562561"",""fb_expo_id"":""243850434556116992"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""621739""}",,/loupan/p_xopjyxzbjjtb/,[],,[],,4,楼盘亮点,高层、洋房在售,
0,,29603,8742129207338600,510600,德阳市,https://image1.ljcdn.com/newhouse-user-image/cc953dae39e6f6f9827c865ca50cab80.png,0,0,绵竹市,绵竹市,23009282,1100001500,绵竹市,8742129207338600,3,,,建面,毛坯,104.246515,31.327633,,剑桥城,剑桥城,,绵竹大学城-80000平米鲜花广场旁,绵竹大学城-80000平米鲜花广场旁,38000,38000,绵竹大学城-80000平米鲜花广场旁,jqcabrup,[],[],[],"['现房', '购物方便', '综合商场', '公园']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '54', 'desc': '综合商场', 'color': ''}, {'id': '59', 'desc': '公园', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2018-04-28,0,0,38000,元/平,均价,322天,2018-12-17 10:48:38,2,,0,0,均价38000元/平,101,"[{'id': 'img_5664484', 'image_id': '5664484', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/ca495f12b47856e7e9bd2dd7b6e76fc7.png!m_fill,w_1440,l_rorate_logo'}]",38000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-03-13 13:38:22,在售价格：3.8万-4万,0,0,[],[],243850434556116993,"{""fb_query_id"":""243850434522562561"",""fb_expo_id"":""243850434556116993"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""29603""}",,/loupan/p_jqcabrup/,[],,[],,4,楼盘亮点,在售价格：3.8万-4万,
