item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,recommend_reason,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm
0,,22893,8709123644202624,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/6d64a998-60cd-4a0c-897c-f026cd906316.jpg,89,108,上虞区,上虞区,23009240,1100001361,上虞区,8709123644202624,3,建面 89-108㎡,89-108㎡,建面,毛坯,120.906216,30.026647,3居,阳光城君悦龙山,阳光城君悦龙山,君悦龙山,百谢路与龙虎山路交叉口,百谢路与龙虎山路交叉口,10500,10500,百谢路与龙虎山路交叉口,ygcjylsabhwn,[],[],"[{'bedroom_count': '3', 'area_range': '89-108㎡'}]","['现房', '大型社区', '娱乐丰富', '运动健身']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-03-01,0,0,10500,元/平,均价,336天,2018-12-03 10:25:41,2,,0,0,均价10500元/平,,"[{'id': 'img_4111454', 'image_id': '4111454', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg!m_fill,w_1440,l_rorate_logo'}]",10500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,93,万/套起,10449,元/平起,2017-09-27 17:08:09,,0,0,[],[],243851722849153024,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153024"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""22893""}",,,/loupan/p_ygcjylsabhwn/,[],无,[],
0,,24232,8709124902113257,330600,绍兴市,https://image1.ljcdn.com/newhouse-user-image/a8dfd05db3cb044447217b9dddcfc86c.jpg,139,139,上虞区,上虞区,23009240,1100001361,上虞区,8709124902113257,3,建面 139㎡,139㎡,建面,,120.982784,29.964569,3居,锦瑞苑,锦瑞苑,,人民北路2号锦瑞苑,绍兴市上虞区人民北路,7500,7500,人民北路2号锦瑞苑,jryabjwa,[],[],[],"['现房', '小型社区', '购物方便', '娱乐丰富']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-99,0,0,7500,元/平,均价,364天,2018-11-05 15:03:15,2,,0,0,均价7500元/平,,"[{'id': 'img_4726347', 'image_id': '4726347', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/3fd796df292e20a69753bc5ca8278a46.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/3fd796df292e20a69753bc5ca8278a46.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/3fd796df292e20a69753bc5ca8278a46.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/3fd796df292e20a69753bc5ca8278a46.jpg!m_fill,w_1440,l_rorate_logo'}]",7500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-05-22 16:17:21,,0,0,[],[],243851722849153025,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153025"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""24232""}",,,/loupan/p_jryabjwa/,[],无,[],
0,,24580,8709125327935280,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/6e50e7b6-c097-4f2a-9f6f-0f67af0b3506.jpg,0,0,诸暨市,诸暨市,23009219,1100001313,诸暨,8709125327935280,3,,,建面,毛坯,120.258367,29.702658,,杭钢万科紫晶首府,杭钢万科紫晶首府,,艮塔东路苎萝路口,艮塔东路苎萝路口,0,12000,艮塔东路苎萝路口,zjsfabkjk,[],[],[],['现房'],"[{'id': '19', 'desc': '现房', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2018-06-14,0,0,12000,元/平,均价,336天,2018-12-03 10:31:06,2,,0,0,均价12000元/平,,"[{'id': 'img_4112011', 'image_id': '4112011', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/9373b3ef-27f7-42f1-9400-4937040fcbae.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/9373b3ef-27f7-42f1-9400-4937040fcbae.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/9373b3ef-27f7-42f1-9400-4937040fcbae.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/9373b3ef-27f7-42f1-9400-4937040fcbae.jpg!m_fill,w_1440,l_rorate_logo'}]",12000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2018-09-07 18:04:40,,0,0,[],[],243851722849153026,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153026"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""24580""}",,,/loupan/p_zjsfabkjk/,[],,[],
0,,29675,8709129293367661,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/435e992c-00aa-4faa-8db4-cfc0f209f489.jpg,89,107,上虞区,上虞区,23009240,1100001361,上虞区,8709129293367661,3,建面 89-107㎡,89-107㎡,建面,毛坯,120.860228,30.001239,2/3居,卧龙天香南园,卧龙天香南园,,上虞区舜耕大道春晖大道路口,绍兴市上虞区舜耕大道春晖大道路口,11000,11000,上虞区舜耕大道春晖大道路口,wltxnyabrxj,[],[],"[{'bedroom_count': '2', 'area_range': '89㎡'}, {'bedroom_count': '3', 'area_range': '107㎡'}]","['公交直达', '大型社区']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-07-08,0,0,11000,元/平,均价,336天,2018-12-03 14:33:10,2,,0,0,均价11000元/平,,"[{'id': 'img_4112285', 'image_id': '4112285', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/75054d21-6273-4766-b45c-e88ff9f31e89.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/75054d21-6273-4766-b45c-e88ff9f31e89.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/75054d21-6273-4766-b45c-e88ff9f31e89.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/75054d21-6273-4766-b45c-e88ff9f31e89.jpg!m_fill,w_1440,l_rorate_logo'}]",11000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,97,万/套起,10898,元/平起,2018-07-13 18:00:08,,0,0,[],[],243851722849153027,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153027"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""29675""}",,,/loupan/p_wltxnyabrxj/,[],无,[],
0,,601303,8709133333001196,330600,绍兴市,https://image1.ljcdn.com/newhouse-user-image/885385984a44fe5e2851f265e2c6e5ab.jpg,131,179,越城区,越城区,23009293,1100004550,城西,8709133333001196,3,建面 131-179㎡,131-179㎡,建面,毛坯,120.557348,30.021926,4居,世茂璀璨明樾,世茂璀璨明樾,,二环西路世茂璀璨明樾,二环西路与青甸路交叉口东北角项目正南面,0,19000,二环西路世茂璀璨明樾,smccmybifnb,[],[],"[{'bedroom_count': '4', 'area_range': '131-179㎡'}]","['公交直达', '购物方便', '娱乐丰富', '公园']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}, {'id': '59', 'desc': '公园', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2019-07-23,0,0,19000,元/平,均价,383天,2018-10-17 10:12:34,2,,0,0,均价19000元/平,,"[{'id': 'img_5481980', 'image_id': '5481980', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/885385984a44fe5e2851f265e2c6e5ab.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/885385984a44fe5e2851f265e2c6e5ab.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/885385984a44fe5e2851f265e2c6e5ab.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/885385984a44fe5e2851f265e2c6e5ab.jpg!m_fill,w_1440,l_rorate_logo'}]",19000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2019-10-23 14:46:41,,0,0,[],[],243851722849153028,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153028"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""601303""}",,,/loupan/p_smccmybifnb/,[],,[],
0,,605988,8709125327935280,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/6e50e7b6-c097-4f2a-9f6f-0f67af0b3506.jpg,98,138,诸暨市,诸暨市,23009219,1100001313,诸暨,8709125327935280,3,建面 98-138㎡,98-138㎡,建面,毛坯,120.258367,29.702658,3居,杭钢万科紫晶首府,杭钢万科紫晶首府,,艮塔东路苎萝路口,艮塔东路197号,0,13000,艮塔东路苎萝路口,zjsfbimlg,[],[],"[{'bedroom_count': '3', 'area_range': '98-138㎡'}]","['品牌房企', '现房', '大型社区']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-20,0,0,13000,元/平,均价,336天,2018-12-03 10:31:34,2,,0,0,均价13000元/平,2,"[{'id': 'img_4112009', 'image_id': '4112009', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/6e50e7b6-c097-4f2a-9f6f-0f67af0b3506.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/6e50e7b6-c097-4f2a-9f6f-0f67af0b3506.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/6e50e7b6-c097-4f2a-9f6f-0f67af0b3506.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/6e50e7b6-c097-4f2a-9f6f-0f67af0b3506.jpg!m_fill,w_1440,l_rorate_logo'}]",13000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,128,万/套起,13043,元/平起,2018-09-07 16:56:27,,0,0,[],[],243851722849153029,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153029"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""605988""}",,,/loupan/p_zjsfbimlg/,[],,[],
0,,606400,8709134272988195,330600,绍兴市,https://image1.ljcdn.com/newhouse-user-image/phpYmT19X1543392878.png,0,0,嵊州市,嵊州市,23009467,1100001705,嵊州,8709134272988195,3,,,建面,毛坯,120.830792,29.563194,,融信创世纪,融信创世纪,,官河南路融信创世纪,浙江省绍兴市嵊州市官河南路668号（嵊州国际会展中心对面）,0,9000,官河南路融信创世纪,rxcsjbinbc,[],[],[],"['品牌房企', '美食云集', '银行', '医疗配套']","[{'id': '13', 'desc': '品牌房企', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}, {'id': '10', 'desc': '医疗配套', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-09-25,0,1000000,9000,元/平,均价,357天,2018-11-12 10:14:05,2,,0,0,均价9000元/平,29,"[{'id': 'img_4112611', 'image_id': '4112611', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/104105ed-55b0-4388-8090-206bf084e79f.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/104105ed-55b0-4388-8090-206bf084e79f.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/104105ed-55b0-4388-8090-206bf084e79f.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/104105ed-55b0-4388-8090-206bf084e79f.jpg!m_fill,w_1440,l_rorate_logo'}]",9000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2018-09-14 18:21:47,,0,0,[],[],243851722849153030,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153030"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""606400""}",,,/loupan/p_rxcsjbinbc/,[],,[],
0,,96265,8709131220214012,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/80d71338-857f-49cd-802b-eaef46893d36.jpg,0,0,上虞区,上虞区,23009240,1100001361,上虞区,8709131220214012,1,,,建面,毛坯,120.842485,30.081851,,佳源中心广场,佳源中心广场,崧厦佳源中心广场,伞城大道佳源中心广场,上虞区崧厦镇百崧路与伞城大道交汇处,0,0,伞城大道佳源中心广场,jyzxgcafmkn,[],[],[],"['即将交房', '购物方便', '美食云集', '景区']","[{'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '8', 'desc': '美食云集', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",商业类,107500000010,未开盘,0,0,0,0,2018-05-24,0,0,0,元/平,均价,343天,2018-11-26 18:01:00,2,,0,0,价格待定,,"[{'id': 'img_4112444', 'image_id': '4112444', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/80d71338-857f-49cd-802b-eaef46893d36.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/80d71338-857f-49cd-802b-eaef46893d36.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/80d71338-857f-49cd-802b-eaef46893d36.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/80d71338-857f-49cd-802b-eaef46893d36.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,B199FF,0,万/套起,0,元/平起,2018-05-22 16:47:04,,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851722849153031,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153031"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""96265""}",,,/loupan/p_jyzxgcafmkn/,[],无,[],
0,,21935,8709123066171497,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/7e718317-5c12-44ae-b0fe-56ddfff71719.jpg,107,107,诸暨市,诸暨市,23009219,1100001313,诸暨,8709123066171497,4,建面 107㎡,107㎡,建面,毛坯,120.217386,29.720219,3居,通球香樟雅苑,通球香樟雅苑,香樟雅苑,望云路165号,浙江省诸暨市望云路与苎萝路交汇处（望云路165号）,0,0,望云路165号,tqxzyyabglr,[],[],"[{'bedroom_count': '3', 'area_range': '107㎡'}]","['现房', '小型社区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '22', 'desc': '小型社区', 'color': ''}]",住宅,107500000003,售罄,0,0,0,0,2016-11-26,0,0,0,元/平,均价,775天,2017-09-20 15:44:27,2,,0,0,价格待定,,"[{'id': 'img_4111373', 'image_id': '4111373', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/bd246752-9356-44a8-b1d7-ef7b7bb050b8.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/bd246752-9356-44a8-b1d7-ef7b7bb050b8.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/bd246752-9356-44a8-b1d7-ef7b7bb050b8.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/bd246752-9356-44a8-b1d7-ef7b7bb050b8.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,FB9252,0,万/套起,0,元/平起,2017-09-20 15:52:59,,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851722849153032,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153032"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""21935""}",,,/loupan/p_tqxzyyabglr/,[],无,[],无
0,,22993,8709123749134888,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/47d404b9-ca05-4c11-950c-32d494f97453.jpg,0,0,诸暨市,诸暨市,23009219,1100001313,诸暨,8709123749134888,4,,,建面,毛坯,120.286176,29.6985,,华城书香美地,华城书香美地,书香美地,诸暨东山路391号,东山路391号,0,0,诸暨东山路391号,hcsxmdabiaj,[],[],[],"['公交直达', '现房', '银行', '休闲广场']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}, {'id': '60', 'desc': '休闲广场', 'color': ''}]",住宅,107500000003,售罄,0,0,0,0,2014-01-99,0,0,0,元/平,均价,775天,2017-09-20 15:50:55,2,,0,0,价格待定,,"[{'id': 'img_4111582', 'image_id': '4111582', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b043abfe-e097-4787-9f4d-464608e8e7e3.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b043abfe-e097-4787-9f4d-464608e8e7e3.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b043abfe-e097-4787-9f4d-464608e8e7e3.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b043abfe-e097-4787-9f4d-464608e8e7e3.jpg!m_fill,w_1440,l_rorate_logo'}]",0,元/㎡,参考均价,0,万/套,总价,[],0,C0C5CF,FB9252,0,万/套起,0,元/平起,2017-09-20 15:58:05,,0,0,"[{'desc': '售罄', 'color': 'C0C5CF', 'text_color': 'FFFFFF'}]",[],243851722849153033,"{""fb_query_id"":""243851722744295424"",""fb_expo_id"":""243851722849153033"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-2]\""]"",""fb_item_id"":""22993""}",,,/loupan/p_hcsxmdabiaj/,[],,[],
0,,22893,8709123644202624,330600,绍兴市,https://image1.ljcdn.com/hdic-resblock/6d64a998-60cd-4a0c-897c-f026cd906316.jpg,89,108,上虞区,上虞区,23009240,1100001361,上虞区,8709123644202624,3,建面 89-108㎡,89-108㎡,建面,毛坯,120.906216,30.026647,3居,阳光城君悦龙山,阳光城君悦龙山,君悦龙山,百谢路与龙虎山路交叉口,百谢路与龙虎山路交叉口,10500,10500,百谢路与龙虎山路交叉口,ygcjylsabhwn,[],[],"[{'bedroom_count': '3', 'area_range': '89-108㎡'}]","['现房', '大型社区', '娱乐丰富', '运动健身']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}, {'id': '7', 'desc': '运动健身', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-03-01,0,0,10500,元/平,均价,336天,2018-12-03 10:25:41,2,,0,0,均价10500元/平,,"[{'id': 'img_4111454', 'image_id': '4111454', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/28abdb81-c5d2-4eef-b662-154c901160a7.jpg!m_fill,w_1440,l_rorate_logo'}]",10500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,93,万/套起,10449,元/平起,2017-09-27 17:08:09,,0,0,[],[],243851723796459520,"{""fb_query_id"":""243851723762905088"",""fb_expo_id"":""243851723796459520"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-4]\""]"",""fb_item_id"":""22893""}",,,/loupan/p_ygcjylsabhwn/,[],无,[],
