item_type,item_type_desc,pid,id,city_id,city_name,cover_pic,min_frame_area,max_frame_area,district_name,district,district_id,bizcircle_id,bizcircle_name,build_id,process_status,resblock_frame_area,resblock_frame_area_range,resblock_frame_area_desc,decoration,longitude,latitude,frame_rooms_desc,title,resblock_name,resblock_alias,address,store_addr,avg_unit_price,average_price,address_remark,project_name,special_tags,frame_rooms,converged_rooms,tags,project_tags,house_type,house_type_value,sale_status,has_evaluate,has_vr_aerial,has_vr_house,has_short_video,open_date,has_virtual_view,lowest_total_price,show_price,show_price_unit,show_price_desc,show_price_confirm_time,price_confirm_time,status,subway_distance,is_cooperation,evaluate_status,show_price_info,brand_id,preload_detail_image,reference_avg_price,reference_avg_price_unit,reference_avg_price_desc,reference_total_price,reference_total_price_unit,reference_total_price_desc,new_sale_tags,is_followed,sale_status_color,house_type_color,total_price_start,total_price_start_unit,avg_price_start,avg_price_start_unit,on_time,project_desc,has_car_activity,is_new_sale,first_tags,m_first_tags,fb_expo_id,strategy_info,recommend_log_info,recommend_reason,url,special.lianjia_special,special.lianjia_special_comm,special.developer_special,special.developer_special_comm
0,,23805,207126406934523,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/e2be5f7a-cfaf-4777-9cbb-3faf4d29f463.jpg,0,0,永清,永清,131023,611101022,永清,207126406934523,3,,,建面,毛坯,116.598812,39.363771,,国瑞生态城,国瑞生态城,永定河新城,京台高速永清出口273省道东侧1.5公里,廊坊市永清县韩村镇国瑞生态城售楼处,16000,16000,京台高速永清出口273省道东侧1.5公里,grstcabjfp,['9.7折'],[],[],"['现房', '景区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",写字楼,107500000006,在售,0,0,0,0,2017-08-26,0,0,16000,元/平,均价,367天,2018-11-02 14:54:07,2,,0,0,均价16000元/平,,"[{'id': 'img_3198469', 'image_id': '3198469', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,59A5EB,0,万/套起,0,元/平起,2017-10-12 10:23:34,,0,0,[],[],243851090100039687,"{""fb_query_id"":""243851090066485248"",""fb_expo_id"":""243851090100039687"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""23805""}",,,/loupan/p_grstcabjfp/,[],,['9.7折'],
0,,24127,2010841725874650,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/3a8dc224-226d-4d2a-9671-b2c0941ab43c.jpg,125,130,安次,安次,131002,611101094,安次,2010841725874650,3,建面 125-130㎡,125-130㎡,建面,毛坯,116.71414929047,39.490712444756,3/4居,鸿坤理想澜湾,鸿坤理想澜湾,,安次区龙泽路西龙河北岸,南龙道与常甫路交口南行约600米，龙泽路西侧,23000,23000,安次区龙泽路西龙河北岸,hklxlwabjrz,[],[],"[{'bedroom_count': '3', 'area_range': '125-128㎡'}, {'bedroom_count': '4', 'area_range': '130㎡'}]","['现房', '大型社区', '配套齐全', '购物方便']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '4', 'desc': '配套齐全', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}]",别墅,107500000004,在售,0,0,0,0,2018-03-31,0,0,23000,元/平,均价,367天,2018-11-02 14:54:07,2,,2,0,均价23000元/平,,"[{'id': 'img_5527954', 'image_id': '5527954', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg!m_fill,w_1440,l_rorate_logo'}]",23000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,8FD24E,320,万/套起,25000,元/平起,2017-09-06 10:58:10,,0,0,[],[],243851090100039688,"{""fb_query_id"":""243851090066485248"",""fb_expo_id"":""243851090100039688"",""fb_item_location"":""8"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""24127""}",,,/loupan/p_hklxlwabjrz/,[],,[],
0,,25369,2020025941420132,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/b2c576aa-1826-41a1-a705-4039a209ca69.jpg,0,0,燕郊,燕郊,23008631,1100004073,首尔甜城,2020025941420132,3,,,建面,毛坯,116.790446,40.008335,,首尔甜城·39街区,首尔甜城·39街区,首尔甜城39街区,燕郊经济开发区化大南路,燕郊经济开发区燕顺路北首尔甜城售楼处,50000,40000,燕郊经济开发区化大南路,setcqablnt,[],[],[],"['公交直达', '即将交房', '购物方便', '娱乐丰富']","[{'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '20', 'desc': '即将交房', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2018-07-11,0,0,40000,元/平,均价,367天,2018-11-02 14:54:07,2,,2,0,均价40000元/平,,"[{'id': 'img_3459297', 'image_id': '3459297', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/1fa193b2-3797-4ac3-b495-11f128de6243.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/1fa193b2-3797-4ac3-b495-11f128de6243.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/1fa193b2-3797-4ac3-b495-11f128de6243.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/1fa193b2-3797-4ac3-b495-11f128de6243.jpg!m_fill,w_1440,l_rorate_logo'}]",40000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,0,万/套起,0,元/平起,2019-08-07 15:06:00,,0,0,[],[],243851090100039689,"{""fb_query_id"":""243851090066485248"",""fb_expo_id"":""243851090100039689"",""fb_item_location"":""9"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-0]\""]"",""fb_item_id"":""25369""}",,,/loupan/p_setcqablnt/,[],,[],
0,,14021,2010140187372812,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/4a876cf7-bc0f-4498-8c2b-06fedfa05741.jpg,0,0,固安,固安,131022,611100844,固安,2010140187372812,3,,,建面,毛坯,116.309121,39.418365,,中盛星河湾,中盛星河湾,紫御城二期,106国道向南3公里，农兴路向西行200米,固安县育才南路与农兴路交叉口东南角,13200,14000,106国道向南3公里，农兴路向西行200米,zsxhwaauth,[],[],[],"['现房', '车位充足', '购物方便', '超市']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '3', 'desc': '车位充足', 'color': ''}, {'id': '5', 'desc': '购物方便', 'color': ''}, {'id': '55', 'desc': '超市', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-05-15,0,2400000,14000,元/平,均价,1056天,2016-12-13 15:26:30,2,,0,0,均价14000元/平,,"[{'id': 'img_3457991', 'image_id': '3457991', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/a520596e-f1f5-405a-838c-241b0a4cea24.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/a520596e-f1f5-405a-838c-241b0a4cea24.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/a520596e-f1f5-405a-838c-241b0a4cea24.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/a520596e-f1f5-405a-838c-241b0a4cea24.jpg!m_fill,w_1440,l_rorate_logo'}]",14000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2019-08-07 14:58:36,,0,0,[],[],243851091110862858,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862858"",""fb_item_location"":""0"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""14021""}",,,/loupan/p_zsxhwaauth/,[],,[],
0,,14024,2010161677152056,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/53aad451-f4b4-44ca-b2b5-37c64f08070a.jpg,71,136,固安,固安,131022,611100844,固安,2010161677152056,3,建面 71-136㎡,71-136㎡,建面,毛坯,116.287243,39.444211,0/2/3/4居,建投御湖园,建投御湖园,建投·御湖园,新源西街角北公园旁,迎宾大道与新源街交汇处西行500米路北,11000,16300,新源西街角北公园旁,jtyhyaautk,[],[],"[{'bedroom_count': '0', 'area_range': '74㎡'}, {'bedroom_count': '2', 'area_range': '71.64-81.26㎡'}, {'bedroom_count': '3', 'area_range': '85.19-117.39㎡'}, {'bedroom_count': '4', 'area_range': '136.63㎡'}]","['小户型', '现房', '绿化率高', '娱乐丰富']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '6', 'desc': '娱乐丰富', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-10-99,0,0,16300,元/平,均价,1056天,2016-12-13 15:26:30,2,,2,0,均价16300元/平,,"[{'id': 'img_3457994', 'image_id': '3457994', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/9a857d1c-38c2-4358-bc5f-40029fbc03bf.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/9a857d1c-38c2-4358-bc5f-40029fbc03bf.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/9a857d1c-38c2-4358-bc5f-40029fbc03bf.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/9a857d1c-38c2-4358-bc5f-40029fbc03bf.jpg!m_fill,w_1440,l_rorate_logo'}]",16300,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,0,万/套起,0,元/平起,2019-08-07 14:55:24,,0,0,[],[],243851091110862859,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862859"",""fb_item_location"":""1"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""14024""}",,,/loupan/p_jtyhyaautk/,[],,[],
0,,14030,2010841725874650,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/3a8dc224-226d-4d2a-9671-b2c0941ab43c.jpg,75,95,安次,安次,131002,611101094,安次,2010841725874650,3,建面 75-95㎡,75-95㎡,建面,毛坯,116.71414929047,39.490712444756,2/3居,鸿坤理想澜湾,鸿坤理想澜湾,,安次区龙泽路西龙河北岸,安次区南龙道与常甫路交口南行500米龙泽路西侧,14000,14500,安次区龙泽路西龙河北岸,hklxlwaautq,['送车位'],[],"[{'bedroom_count': '2', 'area_range': '75㎡'}, {'bedroom_count': '3', 'area_range': '95㎡'}]","['小户型', '绿化率高', '大型社区', '配套齐全']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '4', 'desc': '配套齐全', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2018-03-10,0,0,14500,元/平,均价,367天,2018-11-02 14:54:07,2,,0,0,均价14500元/平,,"[{'id': 'img_5527954', 'image_id': '5527954', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/newhouse-user-image/eaf43cbdac4c3baec775b0e34ffa423c.jpg!m_fill,w_1440,l_rorate_logo'}]",14500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,123,万/套起,14526,元/平起,2017-09-05 17:30:01,,0,0,[],[],243851091110862860,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862860"",""fb_item_location"":""2"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""14030""}",,,/loupan/p_hklxlwaautq/,[],,['送车位'],
0,,14771,2013831457769805,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/c83e1946-82e2-4b75-94fd-c5ba1d430244.jpg,67,97,廊坊经济技术开发区,廊坊经济技术开发区,990007,611101230,开发区其它,2013831457769805,3,建面 67-97㎡,67-97㎡,建面,毛坯,116.777605,39.595429,2/3居,北京荟,北京荟,"远景北京荟, 荟景新苑",廊坊市开发区金运路2号,开发区金运路6号,15500,16500,廊坊市开发区金运路2号,yjbjhaavwd,[],[],"[{'bedroom_count': '2', 'area_range': '67.44㎡'}]","['小户型', '现房', '绿化率高']","[{'id': '14', 'desc': '小户型', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2016-09-10,0,0,16500,元/平,均价,367天,2018-11-02 14:54:07,2,,0,0,均价16500元/平,,"[{'id': 'img_3458431', 'image_id': '3458431', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/fdc9e52e-aa0e-4da9-8ec1-9dc30c6093bb.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/fdc9e52e-aa0e-4da9-8ec1-9dc30c6093bb.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/fdc9e52e-aa0e-4da9-8ec1-9dc30c6093bb.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/fdc9e52e-aa0e-4da9-8ec1-9dc30c6093bb.jpg!m_fill,w_1440,l_rorate_logo'}]",16500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,104,万/套起,15421,元/平起,2019-08-07 14:54:54,,0,0,[],[],243851091110862861,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862861"",""fb_item_location"":""3"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""14771""}",,,/loupan/p_yjbjhaavwd/,[],,[],
0,,15609,207126406934523,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/e2be5f7a-cfaf-4777-9cbb-3faf4d29f463.jpg,63,138,永清,永清,131023,611101022,永清,207126406934523,3,建面 63-138㎡,63-138㎡,建面,毛坯,116.598812,39.363771,1/2/3/4居,国瑞生态城,国瑞生态城,永定河新城,京台高速永清出口273省道东侧1.5公里,廊坊市永清县韩村镇国瑞生态城售楼处,11000,11000,京台高速永清出口273省道东侧1.5公里,grstcaaxcj,['全款9.7折  贷款9.8折'],[],"[{'bedroom_count': '1', 'area_range': '86㎡'}, {'bedroom_count': '2', 'area_range': '110-114㎡'}, {'bedroom_count': '3', 'area_range': '108-131㎡'}, {'bedroom_count': '4', 'area_range': '130㎡'}]","['现房', '大型社区', '景区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '21', 'desc': '大型社区', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",住宅,107500000003,在售,0,0,0,0,2017-05-30,0,0,11000,元/平,均价,367天,2018-11-02 14:54:07,2,,0,0,均价11000元/平,,"[{'id': 'img_3198469', 'image_id': '3198469', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_1440,l_rorate_logo'}]",11000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,FB9252,80,万/套起,8771,元/平起,2017-03-24 13:55:42,,0,0,[],[],243851091110862862,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862862"",""fb_item_location"":""4"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""15609""}",,,/loupan/p_grstcaaxcj/,[],,['全款9.7折  贷款9.8折'],7天内交齐首付9.9折
0,,20988,2020022239673926,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/ab7689c9-5010-48b8-aeab-da8e4b82b237.jpg,40,96,安次,安次,131002,611101094,安次,2020022239673926,3,建面 40-96㎡,40-96㎡,建面,毛坯,116.672988,39.494955,0/1/2居,华昱昱公馆,华昱昱公馆,"华昱•昱公馆, 华昱骏景",安稳道2号,廊坊市安次区安稳道2号华昱骏景售楼处,9000,8500,安稳道2号,hyyggabfbg,['全款9.8折  贷款9.9折'],[],"[{'bedroom_count': '0', 'area_range': '41.32㎡'}, {'bedroom_count': '1', 'area_range': '40.21-85.32㎡'}, {'bedroom_count': '2', 'area_range': '86.26-96.37㎡'}]","['低单价', '小户型', '公交直达', '现房']","[{'id': '24', 'desc': '低单价', 'color': ''}, {'id': '14', 'desc': '小户型', 'color': ''}, {'id': '2', 'desc': '公交直达', 'color': ''}, {'id': '19', 'desc': '现房', 'color': ''}]",商业,107500000007,在售,0,0,0,0,2017-06-05,0,0,8500,元/平,均价,367天,2018-11-02 14:54:07,2,,2,0,均价8500元/平,,"[{'id': 'img_3459112', 'image_id': '3459112', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/b235638a-6c74-448a-a8a6-cc2901f55f04.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/b235638a-6c74-448a-a8a6-cc2901f55f04.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/b235638a-6c74-448a-a8a6-cc2901f55f04.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/b235638a-6c74-448a-a8a6-cc2901f55f04.jpg!m_fill,w_1440,l_rorate_logo'}]",8500,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,B199FF,36,万/套起,8712,元/平起,2017-06-08 16:12:35,,0,0,[],[],243851091110862863,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862863"",""fb_item_location"":""5"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""20988""}",,,/loupan/p_hyyggabfbg/,[],,['全款9.8折  贷款9.9折'],80平米以下立减5万，80平米以上立减4万；
0,,21980,2020023093435325,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/6d7fa16b-21b9-487c-9c5d-2b267d39d858.jpg,50,95,永清,永清,131023,611101022,永清,2020023093435325,1,建面 50-95㎡,50-95㎡,建面,毛坯,116.626294,39.42033,1/2/3居,中科嘉会城,中科嘉会城,,廊霸路与翠林路交叉口,永清县韩村镇廊霸路中友加油站对面,16500,16500,廊霸路与翠林路交叉口,zkjhcabgnk,[],[],[],"['现房', '绿化率高', '银行', '休闲广场']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '17', 'desc': '绿化率高', 'color': ''}, {'id': '9', 'desc': '银行', 'color': ''}, {'id': '60', 'desc': '休闲广场', 'color': ''}]",住宅,107500000003,未开盘,0,0,0,0,2017-09-99,0,0,16500,元/平,均价,367天,2018-11-02 14:54:07,2,,0,0,均价16500元/平,,"[{'id': 'img_3459163', 'image_id': '3459163', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/bf9a0904-fc73-44dc-82c5-51de3bceb97f.jpeg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/bf9a0904-fc73-44dc-82c5-51de3bceb97f.jpeg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/bf9a0904-fc73-44dc-82c5-51de3bceb97f.jpeg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/bf9a0904-fc73-44dc-82c5-51de3bceb97f.jpeg!m_fill,w_1440,l_rorate_logo'}]",16500,元/㎡,参考均价,0,万/套,总价,[],0,FC7B75,FB9252,0,万/套起,0,元/平起,2017-08-18 17:45:17,,0,0,"[{'desc': '未开盘', 'color': 'FC7B75', 'text_color': 'FFFFFF'}]",[],243851091110862864,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862864"",""fb_item_location"":""6"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""21980""}",,,/loupan/p_zkjhcabgnk/,[],,[],
0,,23805,207126406934523,131000,廊坊市,https://image1.ljcdn.com/hdic-resblock/e2be5f7a-cfaf-4777-9cbb-3faf4d29f463.jpg,0,0,永清,永清,131023,611101022,永清,207126406934523,3,,,建面,毛坯,116.598812,39.363771,,国瑞生态城,国瑞生态城,永定河新城,京台高速永清出口273省道东侧1.5公里,廊坊市永清县韩村镇国瑞生态城售楼处,16000,16000,京台高速永清出口273省道东侧1.5公里,grstcabjfp,['9.7折'],[],[],"['现房', '景区']","[{'id': '19', 'desc': '现房', 'color': ''}, {'id': '66', 'desc': '景区', 'color': ''}]",写字楼,107500000006,在售,0,0,0,0,2017-08-26,0,0,16000,元/平,均价,367天,2018-11-02 14:54:07,2,,0,0,均价16000元/平,,"[{'id': 'img_3198469', 'image_id': '3198469', 'type_id': '101900000004', 'type_name': '效果图', 'image_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg', 'title': '', 'desc': '', 'extend': None, 'vr_info': None, 'video_info': None, 'image_list_blurry_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_60,l_rorate_logo,q_90', 'image_size_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_750,h_562,l_rorate_logo', 'image_list_size_url': 'https://image1.ljcdn.com/hdic-resblock/3ead1e3f-15cd-4c66-98b9-16e3e4b6495d.jpg!m_fill,w_1440,l_rorate_logo'}]",16000,元/㎡,参考均价,0,万/套,总价,[],0,53CC9A,59A5EB,0,万/套起,0,元/平起,2017-10-12 10:23:34,,0,0,[],[],243851091110862865,"{""fb_query_id"":""243851091077308416"",""fb_expo_id"":""243851091110862865"",""fb_item_location"":""7"",""fb_service_id"":""1012810002"",""fb_ab_test_flag"":""[\""ab-group:[ab-test-exp-476-group-1]\""]"",""fb_item_id"":""23805""}",,,/loupan/p_grstcabjfp/,[],,['9.7折'],
